client_id,gender,region,city_type,income_group,employment_type,digital_adoption_level,registration_month_offset,age_base,customer_segment,salary_project_flag,estimated_monthly_income,snapshot_date,client_tenure_days,client_age,active_products_count,closed_products_count,product_diversity_score,has_debit_card,has_credit_card,has_deposit,has_loan,has_mobile_app,has_savings_account,days_since_last_product_open,days_since_last_product_close,txn_count_30d,txn_count_60d,txn_count_90d,txn_count_180d,txn_sum_30d,txn_sum_60d,txn_sum_90d,txn_sum_180d,txn_avg_amount_30d,txn_avg_amount_90d,txn_max_amount_90d,successful_txn_rate_90d,failed_txn_count_90d,active_txn_days_30d,active_txn_days_90d,days_since_last_txn,cash_withdrawal_count_90d,card_purchase_count_90d,p2p_transfer_count_90d,utility_payment_count_90d,mobile_txn_share_90d,atm_txn_share_90d,branch_txn_share_90d,txn_count_prev30,txn_count_last30,txn_count_change_30d,txn_count_change_pct_30d,txn_sum_prev30,txn_sum_last30,txn_sum_change_30d,txn_sum_change_pct_30d,app_login_count_30d,app_login_count_60d,app_login_count_90d,app_events_count_30d,app_events_count_90d,unique_app_event_types_90d,active_app_days_90d,days_since_last_app_login,days_since_last_app_event,transfer_created_count_90d,payment_created_count_90d,balance_view_count_90d,support_chat_opened_count_90d,loan_offer_view_count_90d,app_login_prev30,app_login_last30,app_login_change_30d,app_login_change_pct_30d,tickets_count_30d,tickets_count_90d,complaints_count_90d,critical_tickets_count_90d,open_tickets_count,escalated_tickets_count_90d,avg_satisfaction_score_90d,min_satisfaction_score_90d,days_since_last_ticket,days_since_last_complaint,marketing_contacts_30d,marketing_contacts_90d,retention_contacts_90d,campaign_open_rate_90d,campaign_click_rate_90d,push_contacts_90d,sms_contacts_90d,email_contacts_90d,call_contacts_90d,days_since_last_marketing_contact,estimated_revenue_3m,estimated_revenue_6m,estimated_cost_3m,net_value_3m,avg_balance_3m,avg_balance_6m,value_segment,target_churn_60d,future_txn_count_60d,future_app_login_count_60d,future_product_open_count_60d,activity_segment,complaint_segment,digital_segment
2019,F,Atyrau,large_city,medium,self_employed,low,71,44,mass,0,412920.7074952388,2024-01-01,2130,44,1,2,1,1,0,0,0,0,0,700,663.0,6,10,15,27,76306.49028546986,102672.98329231646,141855.26457601364,264126.39550627826,12717.748380911644,9457.017638400908,15138.715532266457,0.8928099305075669,2,6,15,65,1,5,4,1,0.7460375421918083,0.1022129583115785,0.1517494994966132,8,6,-2,-0.25,69522.78119640192,76306.49028546986,6783.709089067939,0.0975753410943666,0,3,4,2,12,2,12,58,48,2,2,4,0,0,2,0,-2,-1.0,0,1,0,0,1,0,4.126933028037159,4.0,4.0,,2,2,1,0.3049431492049433,0.0690810955481916,1,1,0,0,23.0,10005.04061002266,17998.834617178927,3378.1006829270177,6626.939927095644,812925.4126717147,871931.0289823096,medium_value,1,0,0,0,activity_drop,no_recent_complaints,low_digital_engagement
219,F,Almaty,large_city,high,employee,medium,79,19,affluent,0,1050920.147270744,2024-01-01,2370,19,4,2,4,1,1,0,0,1,0,782,623.0,8,15,17,36,345113.4363049419,573771.0108926558,469413.9313524892,1481844.4300654572,43139.179538117736,27612.584197205244,40526.626512811,0.9750828755749356,0,8,17,9,2,6,4,1,0.5805607216899757,0.0971699164839846,0.3222693618260395,10,8,-2,-0.2,353677.7911560557,345113.4363049419,-8564.354851113807,-0.0242151332802655,2,6,8,6,24,1,13,11,31,2,2,8,1,1,4,2,-2,-0.5,0,0,0,0,0,0,,,,,0,2,2,0.3847616806374079,0.0726761856786859,1,1,1,1,36.0,24106.904473203187,48591.06699077213,5352.034880128564,18754.869593074625,3118084.740669644,3354498.765398966,high_value,0,9,3,0,transaction_active,no_recent_complaints,medium_digital_engagement
2096,M,North_KZ,large_city,medium,employee,medium,39,74,mass,0,298338.14520662744,2024-01-01,1170,74,0,1,0,1,1,0,0,1,0,62,409.0,0,4,8,21,0.0,30112.783180926363,75352.90888786691,269542.69909655885,0.0,9419.113610983364,34562.14782072497,0.942637384255942,2,0,7,5,1,2,1,1,0.666619076477972,0.3205163011871556,0.0128646223348722,3,0,-3,-1.0,35877.13614666334,0.0,-35877.13614666334,-1.0,3,7,9,7,22,3,22,15,67,4,4,4,0,1,5,3,-2,-0.4,0,0,0,0,0,0,,,,,1,2,2,0.0396069995201535,0.0163990639228083,2,0,0,0,55.0,6557.98585639504,11681.859018479769,2156.367614062335,4401.6182423327045,802741.4193436623,894972.8593006189,low_value,0,0,3,0,activity_drop,no_recent_complaints,medium_digital_engagement
49,F,Astana,large_city,low,unemployed,low,75,37,mass,0,120524.18382246804,2024-01-01,2250,37,1,0,1,1,0,0,0,0,0,258,,4,6,9,16,27510.2849462135,27678.69780269737,49441.65250459983,91662.1978587219,6877.571236553375,5493.516944955536,8225.24948893886,0.9664065057236602,2,4,9,45,1,2,2,1,0.6761446539632188,0.2356356521613327,0.0882196938754483,7,4,-3,-0.4285714285714285,43302.60949455766,27510.2849462135,-15792.324548344164,-0.3646968331164653,3,4,5,4,10,3,10,20,25,2,1,4,0,1,4,3,-1,-0.25,0,0,0,0,0,0,,,,,0,0,0,,,0,0,0,0,,2686.925796437345,5645.906852192465,3242.790596205953,-555.864799768608,478319.6318179153,416492.320321566,low_value,0,2,2,0,moderate_activity,no_recent_complaints,low_digital_engagement
669,M,Almaty,medium_city,low,employee,medium,19,54,mass,1,168830.48312857313,2024-01-01,570,54,2,0,2,1,0,0,0,1,1,727,,10,15,22,49,90931.42363951469,115730.50083977995,185037.83106879384,431280.03386046406,9093.142363951469,8410.810503126993,27399.7438221954,0.9844219261882696,1,10,22,61,4,10,4,3,0.7876180419607235,0.0900794358198204,0.1223025222194561,17,10,-7,-0.4117647058823529,144443.13706151192,90931.42363951469,-53511.71342199725,-0.3704690614633285,2,5,10,10,26,8,4,6,1,4,3,7,1,1,7,2,-5,-0.7142857142857143,0,1,1,0,0,0,4.823317823130082,4.0,14.0,17.0,1,1,0,0.5612383931828433,0.0459488936195429,0,0,0,0,24.0,6732.814008359072,14151.417153414024,2547.701368924309,4185.112639434764,294601.6765187332,325445.9965051192,low_value,0,10,1,0,activity_drop,complaint_risk,medium_digital_engagement
2138,F,Aktobe,large_city,high,entrepreneur,medium,36,42,affluent,0,780263.1747363383,2024-01-01,1080,42,4,1,2,1,0,0,1,1,0,207,351.0,9,17,27,43,253459.00529876017,556116.4789461487,1050523.0254694172,1477911.8442547629,28162.11169986224,38908.26020257101,66858.87484185475,0.988698037724499,1,9,27,21,4,10,3,2,0.7584773755506088,0.1445828646179279,0.0969397598314633,11,9,-2,-0.1818181818181818,388152.9046655567,253459.00529876017,-134693.8993667965,-0.347012473042943,2,9,12,11,21,2,21,25,30,2,1,5,0,0,3,2,-1,-0.3333333333333333,0,0,0,0,0,0,,,,,1,2,0,0.2826927997508495,0.1140597034503578,1,0,1,0,34.0,20838.637093306017,48765.20830879245,4132.114604941573,16706.522488364444,672769.2362301092,652219.4478110354,high_value,0,16,4,0,transaction_active,no_recent_complaints,medium_digital_engagement
2311,F,Shymkent,large_city,medium,retired,high,22,35,pensioner,0,389420.298814792,2024-01-01,660,35,1,1,1,1,1,0,0,1,0,743,340.0,5,9,10,19,56254.63972929178,83256.47261606682,113665.47518519024,148107.84052522838,11250.927945858357,11366.547518519024,34019.93294958447,0.9863001608110076,0,5,10,39,1,4,1,1,0.6115350740034834,0.2575848831314428,0.1308800428650737,7,5,-2,-0.2857142857142857,99446.65581716616,56254.63972929178,-43192.01608787439,-0.4343234645042605,3,12,18,16,45,8,45,23,55,3,6,13,2,2,8,3,-5,-0.625,1,1,0,0,0,1,3.209288720398804,2.0,9.0,,2,3,0,0.4674584452211511,0.0464255113339967,1,0,1,0,51.0,8949.255243394977,19675.428999270945,3729.0656777805375,5220.189565614439,976162.2169313808,958279.3666681688,medium_value,0,7,8,0,activity_drop,no_recent_complaints,digital_power_user
1937,M,East_KZ,rural,low,retired,low,32,30,pensioner,0,138142.87299492772,2024-01-01,960,30,0,0,0,1,0,0,0,0,0,224,,2,7,10,20,16950.291902560915,62959.89351549139,77266.43438013886,146914.57114060997,8475.145951280458,7726.643438013886,14595.978662508329,0.9551571812353864,0,2,10,39,1,3,2,1,0.3724673537327271,0.5655858496826274,0.0619467965846456,5,2,-3,-0.6,37310.529940821085,16950.291902560915,-20360.23803826017,-0.5456968333216901,1,2,2,6,2,2,2,3,72,0,0,1,0,0,2,1,-1,-0.5,0,0,0,0,0,0,,,,,0,2,0,0.0411334212782867,0.0100332262072706,2,1,0,0,69.0,3893.9957326688686,8056.780929311211,3154.051409008925,739.9443236599432,297306.3954208788,312555.825038671,low_value,0,2,1,0,activity_drop,no_recent_complaints,low_digital_engagement
867,F,Aktobe,small_city,low,employee,medium,65,56,mass,1,166994.81124456407,2024-01-01,1950,56,0,4,0,1,0,0,0,1,1,74,807.0,10,16,23,45,73599.46378213781,103359.56370331376,117604.7899699393,192019.75229205543,7359.946378213781,5113.251737823448,11185.141447790427,0.9997676994912692,0,10,5,32,4,9,5,2,0.968050927381218,0.0232581651260249,0.0086909074927572,13,10,-3,-0.2307692307692307,68732.76302964489,73599.46378213781,4866.700752492921,0.070806127063361,1,3,8,7,18,3,18,58,77,3,2,6,1,1,1,1,0,0.0,0,0,0,0,0,0,,,,,0,0,0,,,0,0,0,0,,4726.183343186885,8642.248701330891,3017.828290578987,1708.3550526078984,204729.9815914306,182849.6772692504,low_value,0,12,0,0,transaction_active,no_recent_complaints,medium_digital_engagement
2257,F,Astana,medium_city,medium,entrepreneur,medium,65,39,sme_owner,0,353691.0152182327,2024-01-01,1950,39,3,0,3,1,1,0,1,1,0,255,,7,15,21,39,165453.19596641936,321484.6940363291,485405.3774949544,885523.917570266,23636.170852345625,23114.54178547402,49527.621746272576,0.9831343510317124,0,7,21,40,4,7,2,3,0.4038806226179597,0.367128325038528,0.2289910523435123,8,7,-1,-0.125,218644.79494906185,165453.19596641936,-53191.59898264249,-0.2432785971192895,5,7,8,11,26,2,26,42,71,3,4,6,1,0,7,5,-2,-0.2857142857142857,1,3,2,0,0,0,2.2669573646108003,2.0,65.0,85.0,0,1,0,0.3008452080127524,0.0708182442732402,0,1,0,1,42.0,12517.228934210383,22913.897771654472,3718.9558434414976,8798.273090768886,1074421.8538423688,1043634.6609197163,medium_value,0,13,3,0,transaction_active,complaint_risk,medium_digital_engagement
169,M,Karaganda,large_city,medium,retired,medium,59,48,pensioner,0,411783.1472947229,2024-01-01,1770,48,1,0,1,1,0,0,0,1,1,653,,1,6,8,17,19543.662429743403,90116.48060378787,153632.73618644255,326302.885231943,19543.662429743403,19204.09202330532,75078.71832979888,0.9309708139253976,1,1,8,29,1,3,1,1,0.501129195799664,0.433869341859737,0.065001462340599,2,1,-1,-0.5,40226.10136640407,19543.662429743403,-20682.438936660663,-0.5141546964313616,3,8,15,5,26,5,12,56,24,4,3,4,1,0,4,3,-1,-0.25,0,0,0,0,0,0,,,,,1,2,0,0.3332690138638026,0.1308324208613614,1,0,0,0,19.0,9741.924954024968,22562.23083923766,2574.3334230826736,7167.591530942294,669349.1020330092,572287.7880921512,medium_value,0,5,6,0,digital_active,no_recent_complaints,medium_digital_engagement
1259,F,South_KZ,medium_city,medium,employee,low,50,29,mass,1,268011.4894821782,2024-01-01,1500,29,0,0,0,1,0,0,0,0,1,269,,7,14,22,34,70224.73715537909,126721.98051014676,219236.0071423969,343271.7886109908,10032.1053079113,9965.273051927132,28445.95523204121,0.9522460987345166,2,7,22,51,2,6,3,2,0.7379375167949973,0.1669642236298091,0.0950982595751935,9,7,-2,-0.2222222222222222,104896.83462896242,70224.73715537909,-34672.09747358333,-0.3305352120130633,0,0,0,0,0,1,0,199,202,0,0,0,0,0,4,0,-4,-1.0,0,0,0,0,0,0,,,,,2,3,0,0.1647310855928099,0.068978880110527,1,2,1,0,27.0,5866.090282113991,12196.323141594632,3013.512993998159,2852.577288115832,521133.1893009047,475846.8592334848,low_value,1,0,0,0,activity_drop,no_recent_complaints,low_digital_engagement
510,M,Atyrau,medium_city,medium,entrepreneur,medium,28,42,sme_owner,0,349285.4338628823,2024-01-01,840,42,0,1,0,1,1,0,0,1,0,712,225.0,3,7,12,29,18557.386332053644,54013.41987609728,83348.51336867751,243729.759738629,6185.795444017881,6945.709447389792,31212.886727047266,0.9300911955260356,1,3,12,44,1,4,1,2,0.719438173833766,0.2561272713042766,0.0244345548619571,4,3,-1,-0.25,32191.963871613072,18557.386332053644,-13634.577539559428,-0.4235397875673693,2,4,8,10,21,2,15,11,73,3,1,8,1,1,5,2,-3,-0.6,0,0,0,0,0,0,,,,,1,3,1,0.2770502997964736,0.1201535578516343,2,1,0,0,24.0,7364.827089630513,13397.137826018654,3089.6052455581657,4275.221844072347,962619.9995350032,1074749.25834035,low_value,0,3,2,1,activity_drop,no_recent_complaints,medium_digital_engagement
368,F,Karaganda,small_city,low,employee,medium,57,39,mass,1,119100.44738999072,2024-01-01,1710,39,3,0,3,1,0,0,0,1,1,664,,8,13,19,40,33649.79279918192,64065.01428441332,56444.90820361824,186141.9509509497,4206.22409989774,2970.784642295697,4746.833551692077,1.0,0,8,9,26,2,7,3,2,0.4570670211455493,0.4118964597195045,0.131036519134946,13,8,-5,-0.3846153846153846,41552.93748358791,33649.79279918192,-7903.144684405983,-0.1901946086850652,3,6,9,7,26,4,26,60,1,4,2,8,1,1,5,3,-2,-0.4,0,0,0,0,0,0,,,,,2,4,0,0.2880805976289794,0.0867384765059076,3,1,0,0,80.0,5663.286141196989,12339.213568265017,3599.94123861591,2063.3449025810787,81747.62048495079,72487.25947537774,low_value,0,6,1,0,transaction_active,no_recent_complaints,medium_digital_engagement
1628,M,Shymkent,medium_city,medium,unemployed,medium,82,36,mass,0,330273.15195860475,2024-01-01,2460,36,1,0,1,0,1,0,1,1,0,692,,4,5,9,23,64361.9028917966,90553.93168307965,167557.36514352818,314302.89693223883,16090.47572294915,18617.48501594757,44897.25521252831,0.9523833411998018,1,4,7,31,2,2,1,1,0.4849305384077192,0.2441780706730991,0.2708913909191817,7,4,-3,-0.4285714285714285,83832.99777677159,64361.9028917966,-19471.09488497499,-0.2322605107934006,2,4,9,9,17,4,17,26,27,2,1,7,1,1,4,2,-2,-0.5,0,0,0,0,0,0,,,,,0,0,0,,,0,0,0,0,,4358.382846559184,9218.82057756644,2580.9532285865544,1777.4296179726298,707027.5682333146,620112.2920446647,low_value,0,7,3,1,moderate_activity,no_recent_complaints,medium_digital_engagement
1421,F,Almaty,large_city,medium,entrepreneur,high,57,26,sme_owner,0,360592.068946488,2024-01-01,1710,26,2,1,1,1,0,0,0,1,0,881,83.0,5,12,15,31,74762.13770468437,142199.01933788016,164963.79120010487,425971.8542627709,14952.427540936877,10997.586080006991,29165.90714867588,0.978612262360938,0,5,15,70,3,4,2,2,0.859027895884272,0.0929256282286281,0.0480464758870997,7,5,-2,-0.2857142857142857,61486.05856007773,74762.13770468437,13276.079144606636,0.2159201525600253,4,12,18,12,46,5,17,12,71,4,5,13,2,2,6,4,-2,-0.3333333333333333,0,0,0,0,0,0,,,,,2,3,1,0.3891907303095591,0.0241047832596763,1,2,0,2,28.0,9596.169800737023,17419.376447886752,2669.632040532195,6926.53776020483,1084163.5328942423,984006.4195564748,medium_value,0,6,8,1,digital_active,no_recent_complaints,digital_power_user
1881,F,Shymkent,large_city,medium,self_employed,medium,65,56,mass,0,301334.37401896063,2024-01-01,1950,56,0,0,0,0,0,0,0,1,0,337,,3,4,5,21,99504.31416033724,89967.5918569594,143697.2334466229,635299.1516608502,33168.10472011242,28739.44668932458,47576.66514750703,1.0,0,3,5,69,1,2,1,0,0.4781829740550745,0.2571433631281408,0.2646736628167845,4,3,-1,-0.25,106436.92638543031,99504.31416033724,-6932.612225093064,-0.0651335251826854,3,7,13,5,32,7,32,53,49,5,5,8,1,1,6,3,-3,-0.5,0,0,0,0,0,0,,,,,0,1,0,0.1694406544070676,0.0306869049783471,0,1,1,0,36.0,5528.766539109711,12158.870043949351,1712.7809472008391,3815.985591908872,999948.5656697114,1023482.886752686,low_value,0,2,6,0,moderate_activity,no_recent_complaints,medium_digital_engagement
1991,M,Shymkent,large_city,medium,retired,high,79,46,pensioner,0,308335.34065219254,2024-01-01,2370,46,1,3,1,1,1,0,0,1,0,708,720.0,4,8,12,25,39977.80725248076,69846.62804704906,110555.01600497696,246725.74395631472,9994.45181312019,9212.918000414746,23764.771292195805,0.9652388317576986,0,4,12,18,2,4,2,2,0.085968172752772,0.6994425558194151,0.2145892714278129,5,4,-1,-0.2,57716.89833701097,39977.80725248076,-17739.091084530213,-0.3073465760573454,2,9,14,11,35,7,35,56,15,3,5,3,0,2,4,2,-2,-0.5,0,0,0,0,0,0,,,,,1,1,1,0.2213260232077682,0.0217069736390255,0,0,0,0,52.0,5588.460164059357,10424.975559775465,2302.501498720244,3285.9586653391134,407699.69325296406,383491.7418187953,low_value,0,10,2,0,moderate_activity,no_recent_complaints,medium_digital_engagement
